Concept,Initial home,Reviewed home,Status,Editorial note,Reviewed book file,Initial matched section,First lexical source,Slide/page
Pain of paying,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Bracket for experience: hedonic editing,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,22
Mental budgets,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,A mental-accounting audit,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Choice bracketing,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
House-money effect,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Close and reopen: house money, break-even, and realization",BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Break-even effect,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Close and reopen: house money, break-even, and realization",BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Disposition effect,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,"Close and reopen: house money, break-even, and realization",BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,5
Hedonic editing,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Bracket: one decision or a portfolio?,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,48
Naive diversification,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},,
Diversification bias,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},,
1/n heuristic,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,51
Daily income targets,20,20,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,Diversification: when the menu becomes the portfolio {#when-the-menu-becomes-the-portfolio},,
Habit formation,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Learning goals,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Automaticity,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Research note: what counts as evidence of a habit?,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,27
Cue-response learning,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Practice Lab,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,25
Positive reinforcement,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,What checking accomplishes,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,48
Negative reinforcement,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,What checking accomplishes,,
Reward prediction error,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Research note: unexpected outcomes and dopamine,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,18
Dopamine,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Research note: what counts as evidence of a habit?,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,2
Incentive salience,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Wanting can outlast liking {#wanting-can-outlast-liking},BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Wanting versus liking,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,What checking accomplishes,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,32
Ego depletion,21,39,placement or scope resolved,Full account and replication qualifications in Willpower is not one depletable fuel; Appendix F also records the evidence status.,chapters/39-behavior-design-make-the-better-action-easier.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,27
Urge surfing,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Make room for an urge {#create-space-without-demanding-that-the-urge-disappear},BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,30
RAIN,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Optional practice: observing an urge with BRAIN,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,8
BRAIN,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Optional practice: observing an urge with BRAIN,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,16
Marshmallow test,21,19,placement or scope resolved,Full treatment and reliability/background qualifications belong in intertemporal choice; Appendix F carries the later evidence.,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,28
Self-control,21,21,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/21-habits-wanting-and-self-control.qmd,Changing the routine before the next difficult sentence,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,17
Subjective well-being,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Bridge: a better life is not made alone,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/146 Happiness.pdf,9
Life satisfaction,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/146 Happiness.pdf,14
Hedonic well-being,22,22,placement or scope resolved,"Developed through experienced affect, life evaluation, and their contrast with eudaimonic meaning. The first lexical lecture hit concerns hedonic editing in mental accounting and is not a direct source for this concept.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,48
Eudaimonic well-being,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,BE-Aalborg/09 - Additional Topics/Mind Magic.pptx,40
Predicted utility,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,,
Decision utility,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,"BE-Aalborg/03 - Context, Habits and Choice Architecture/05. Habit and Behavior Design.pdf",9
Experienced utility,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,"One word, several targets","BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",71
Remembered utility,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",72
Affective forecasting,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Before the outcome: predicted utility is a forecast,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,2
Impact bias,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Before the outcome: predicted utility is a forecast,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",76
Focalism,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Before the outcome: predicted utility is a forecast,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/Behavioral Decision Theory additional.pptx,31
Projection bias,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Impact bias and focalism,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",76
Peak-end rule,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,After the outcome: memory edits experience,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",71
Duration neglect,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,After the outcome: memory edits experience,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",71
Hedonic adaptation,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Compare the six questions,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,87
Focusing illusion,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,Social comparison and the focusing illusion,DPN-Aalborg/DPN03. Heuristics & Biases.pptx,9
Income and happiness,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,A well-being decision audit,BE-Aalborg/BE2026/BE10. Asset Bubbles.pptx,14
Social comparison,22,22,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd,"Adaptation: selective, incomplete, and morally easy to misuse",BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,40
Strategic interdependence,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,See the game before solving it,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Best response,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Application: run a strategic audit before giving advice,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Nash equilibrium,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,See the game before solving it,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,30
Prisoner's dilemma,23,25,placement or scope resolved,The game is the opening worked payoff matrix in the cooperation chapter; repeating it in Chapter 23 would duplicate the treatment.,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,53
Coordination game,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,First diagnose the strategic problem,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,1
Focal points,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,"Ethics: cooperation for whom, commitment against whom?",BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,15
Stag hunt,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,"Focality, payoff dominance, and evidence",BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,90
Chicken game,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Research Lens: three additional strategic structures,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,99
Battle of the sexes,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Volunteer's dilemma,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,99
Volunteer's dilemma,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,First diagnose the strategic problem,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,103
Commitment,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Application: run a strategic audit before giving advice,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,23
Dollar auction,23,23,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd,Research Lens: the €50 auction and competitive escalation,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",107
Unraveling,23,24,placement or scope resolved,The beauty-contest reasoning and repeated movement toward lower choices are developed in behavioral game theory.,chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,28
Level-k,24,24,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,"Three lenses, three questions",BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Cognitive hierarchy,24,24,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Limited strategic depth: level-*k*,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Beauty contest,24,24,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Cognitive hierarchy: best respond to a mixture,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,19
Experience-weighted attraction,24,24,placement or scope resolved,"No distinct EWA requirement was found in the extracted teaching units, including an acronym search. The chapter already distinguishes payoff, action, belief, and counterfactual feedback; a new formal model was not added.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Opening / chapter overview,,
Quantal response,24,24,placement or scope resolved,"No distinct QRE requirement was found in the extracted teaching units, including an acronym search. Did not expand the course into an additional formal estimation model.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Opening / chapter overview,,
Strategic learning,24,24,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Application: choose the model after diagnosing the process,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Equilibrium versus behavior,24,24,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,Advanced research track: evolutionary and spatial models,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,3
Social preferences,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Bridge: preferences, norms, and enforcement are different",BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,13
Altruism,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,What cooperation reveals about motives {#movement-2-what-people-value-socially},"BE-Aalborg/03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx",54
Inequity aversion,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,What cooperation reveals about motives {#movement-2-what-people-value-socially},BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,45
Reciprocity,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Reputation, networks, and institutions change incentives",BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,3
Ultimatum game,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,What cooperation reveals about motives {#movement-2-what-people-value-socially},BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,75
Dictator game,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Ultimatum game: fairness has strategic force,BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,2
Trust game,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Punishment can enforce cooperation—and create another dilemma,BE-Aalborg/05 - Strategic and Social Decisions/13. Social Norms.pptx,3
Public goods,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Cross-cultural, comparative, and neural evidence generate hypotheses",BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,60
Conditional cooperation,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Applied case: large stakes do not remove context,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/__From Perception to Choice_ Understanding the Dimensions of Decision Making__.docx",
Costly punishment,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Bridge: preferences, norms, and enforcement are different","BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",62
Repeated cooperation,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Compare the cooperation mechanisms,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,43
Reputation,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Reputation, networks, and institutions change incentives",BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,11
Assortment,25,25,placement or scope resolved,"Explicit positive assortment is now introduced with reputation, networks, and institutions.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Reputation, networks, and institutions change incentives",BE-Aalborg/05 - Strategic and Social Decisions/22. Evolution of Cooperation.pptx,5
Intention-based reciprocity,25,25,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,"Bridge: preferences, norms, and enforcement are different",BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,10
Social learning,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",DPN-Aalborg/DPN04. Influence & Persuasion.pptx,87
Mimicry,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Copying and cumulative culture,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,11
Informational influence,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Normative influence,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Conformity,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,22
Social proof,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,25
Descriptive norm,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,21
Injunctive norm,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,21
Dynamic norm,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social norms require a reference group,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,88
Pluralistic ignorance,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,,
False consensus,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,DPN-Aalborg/DPN07. Communication & Connection.pptx,20
Information cascades,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,"Conformity is an outcome, not a mechanism",BE-Aalborg/05 - Strategic and Social Decisions/21. Evolutionary Game Theory.pptx,53
Herding,26,26,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,Social proof is a cue; a cascade is a mechanism,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pdf",5
Market efficiency,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,The €20 note and three meanings of efficiency,BE-Aalborg/BE2026/BE06. Habits and Behavior Design.pptx,8
Efficient market hypothesis,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,The €20 note and three meanings of efficiency,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Joint-hypothesis problem,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,Every efficiency test is a joint test,,
Limits to arbitrage,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,Evidence Boundary: an anomaly is not a mechanism or a trade,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,1
Mispricing,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,Limits to arbitrage: seeing an error is not enough,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,2
Asset bubbles,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Greater-fool reasoning,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,A two-direction bubble dashboard,DPN-Aalborg/Decision_Making_Enriched_Book.docx,
Synchronization risk,27,27,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/27-markets-mispricing-and-bubbles.qmd,A bubble is a reinforcing-process hypothesis,,
